"contentPlain","基因与核酸","细胞核的结构与功能","蛋白质的结构与功能","脂质的结构与功能","细胞壁结构与功能","细胞基础理论","细胞化学组成基础","生命系统层次理论","实验方法与技术","糖类的结构与功能","细胞渗透与物质运输","细胞的生命历程","细胞器结构与功能","物质运输方式","生物膜系统功能","显微镜使用与成像","酶的作用机制","光合作用机制","ATP与能量代谢","细胞呼吸机制","光合色素与光能捕获","叶绿体结构与功能","能量代谢过程","细胞增殖与分裂","细胞代谢调控","生物学史"
"萤火虫的发光器在离体后一段时间内可以继续发出荧光。研究人员将荧光已经消失的萤火虫发光器研磨液分成A、B两组，分别滴加等体积的ATP溶液和葡萄糖溶液后，A组立即重新出现荧光，而B组需要经过一段时间才会重新出现荧光。下列说法正确的是（　　）A．由于能源物质消耗殆尽导致萤火虫发光器在离体一段时间后荧光消失  B．ATP和葡萄糖都是细胞内的主要能源物质  C．萤火虫发光过程中伴随能量的变化，此过程中会积累大量的ADP  D．萤火虫体内ADP转化为ATP的能量可来源于光能和化学能","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"下列有关科学史的叙述，不正确的是（）A．魏尔肖提出细胞通过分裂产生新细胞  B．施莱登和施旺提出一切生物都是细胞发育而来  C．萨姆纳从刀豆种子中提取出脲酶  D．桑格和尼克森提出了生物膜的流动镶嵌模型","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"病毒是一种非细胞结构的生命体，但其生命活动离不开细胞。下列有关病毒与细胞的说法，正确的是（）A．病毒的遗传物质存在于其拟核区  B．病毒虽然结构简单，但含有核糖体  C．在快递外包装上检测到了新冠病毒，说明病毒可离开细胞进行繁殖  D．病毒不属于生命系统的结构层次","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图中箭头所指代表不同细胞器，相关叙述错误的是（）A．含有①②③④的细胞一定来自高等植物  B．核糖体可分布在②④中，合成的蛋白质种类有差异  C．①③④都参与了溶酶体中水解酶的形成过程  D．根据细胞代谢需要，②④可以改变数量和位置","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列有关生物体化学成分的叙述正确的（）A．病毒的遗传物质含有硫元素  B．与精子形成相关的雄激素属于脂质  C．精瘦肉中含量最多的是蛋白质  D．组成细胞壁主要成分的单体是氨基酸","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于细胞物质组成的叙述，正确的是（）A．脂质类物质的元素组成均是C、H、O  B．组成淀粉、纤维素、蛋白质的单体种类相同  C．细胞内大分子物质的合成均需要酶的催化  D．细胞内无机盐不参与有机物的合成","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列叙述中，正确的是（）A．蓝细菌与变形虫结构上的根本区别是前者营养方式为自养，后者营养方式为异养  B．大肠杆菌和蓝细菌在结构上有统一性，具体体现在它们都有细胞壁、细胞膜、细胞质（核糖体）及相同类型的遗传物质等  C．在一定范围内，所有的动物、植物一起共同形成一个群落  D．蓝细菌与发菜共同点是都能进行光合作用，但蓝细菌不含叶绿素，发菜细胞含叶绿素","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基于对细胞的理解，下列有关表述正确的是（）A．细胞质由细胞质基质和细胞器两部分组成  B．生物膜系统由具膜的细胞器构成  C．细胞骨架是由纤维素组成的网状结构，维持着细胞的形态  D．溶酶体能合成多种水解酶，是细胞的“消化车间”","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ATP是细胞生命活动的直接能源物质，下面关于ATP的叙述，错误的是（）A．细胞质和细胞核中都有ATP的分布  B．ATP可以水解为ADP和磷酸  C．ATP合成所需的能量由磷酸提供  D．正常细胞中ATP与ADP的比值相对稳定","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"与动物细胞相比，植物细胞有丝分裂特有的是（）A．末期在赤道板的位置出现了细胞板  B．染色质螺旋变粗成为染色体  C．着丝粒分裂，姐妹染色单体分开  D．染色体的着丝粒排列在赤道板上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"下列关于探究酶相关特性的实验中，叙述正确的是（）A．验证淀粉酶对淀粉和蔗糖作用的专一性时，可用碘液进行结果的鉴定  B．先将淀粉、淀粉酶混合再置于不同温度条件下，可探究温度对酶活性的影响  C．探究温度对酶活性影响时可选用过氧化氢酶作为实验材料  D．在酶的高效性实验中，需要设置加无机催化剂的一组作为对照","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"假如将甲乙两个植物细胞分别放入蔗糖溶液和甘油溶液中，两种溶液的浓度均比细胞液的浓度高，在显微镜下连续观察，可以预测甲乙两细胞的变化是（）A．甲乙两细胞都发生质壁分离，但乙细胞很快发生质壁分离复原  B．甲乙两细胞发生质壁分离后，不发生质壁分离复原  C．只有乙细胞发生质壁分离，但不会发生质壁分离复原  D．甲乙两细胞发生质壁分离，随后都很快发生质壁分离复原","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"细胞膜的特性和功能是由其结构决定的。下列相关叙述错误的是（）A．由于磷脂双分子层内部是疏水的，因此水分子不能通过细胞膜  B．细胞膜的脂质结构使溶于脂质的物质容易通过细胞膜  C．细胞膜的蛋白质分子有物质运输功能  D．细胞的生长现象不支持细胞膜的静态结构模型","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"模型建构是学习生物学的有效方法之一，下列关于概念模型的应用，错误的是（）A．若②③④分别表示胆固醇、性激素、维生素D，则①可表示固醇  B．若②③④分别表示蔗糖、麦芽糖、葡萄糖，则①可表示还原糖  C．若②③④分别表示葡萄糖、淀粉、糖原，则①可表示能源物质  D．若②③④分别表示氨基酸、葡萄糖、核苷酸，则①可表示多聚体的单体","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"中国制茶工艺源远流长。红茶制作包括①揉捻、②发酵、③高温干燥等工序，其中多酚氧化酶催化茶多酚生成适量茶黄素是红茶风味形成的关键。下列叙述错误的是（）A．揉捻能破坏细胞结构使多酚氧化酶与茶多酚接触  B．发酵时保持适宜的温度以维持多酚氧化酶的活性  C．发酵时有机酸含量增加不会影响多酚氧化酶活性  D．高温灭活多酚氧化酶以防止茶黄素生成过量影响茶品质","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"分别提取正常光照和强光照下某种植物等量叶片中的光合色素，然后进行纸层析得到的结果如下图所示(I、Ⅱ、Ⅲ、Ⅳ为色素条带)。下列相关叙述正确的是（）A．用纸层析法分离色素时，扩散最快的是色素带I  B．实验研磨过程中加入的碳酸钙过少，会导致色素带颜色变深  C．I、Ⅱ色素带主要吸收绿光，Ⅲ、Ⅳ色素带主要吸收红光  D．与正常光照下相比，该植物强光照下叶绿素含量明显升高","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"关于酶的叙述，正确的是（）A．具有分泌功能的细胞才能产生酶  B．酶具有高效性是因为酶能够给化学反应提供活化能  C．酶结构的改变可导致其活性部分或全部丧失  D．酶分子在催化反应完成后立即被降解成氨基酸","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"下列有关科学方法的叙述，错误的是（）A．用差速离心法分离细胞中的各种细胞器  B．用同位素标记法研究分泌蛋白的合成与分泌过程  C．施莱登和施旺用不完全归纳法提出细胞学说  D．用同位素标记的方法进行细胞膜结构模型的探索","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"用相同的培养液培养水稻和番茄幼苗一段时间后，测定溶液中各种离子的浓度，图示部分结果。下列相关说法错误的是（）A．与水稻相比，番茄对SiQ需求量较小  B．水稻培养液里的Mg  2+  浓度高于初始浓度，说明水稻在此过程中向外排出Mg  2+  C．水稻对不同离子的吸收具有选择性  D．根细胞对离子的吸收有差异与载体蛋白的种类和数量相关","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"水是细胞内含量最高的化合物。下图是水分子进入细胞的两种方式——a和b。下列相关叙述错误的是（）A．物质M是膜上的水通道蛋白  B．物质N是磷脂分子，具有亲水的头部和疏水的尾部  C．a方式的运输速率低于b方式  D．水分子通过b方式进行运输需要消耗ATP","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"核孔复合物(NPC)是复杂的蛋白分子复合物，可实现核质间频繁的物质交换和信息交流。最新研究表明，心房颤动（房颤）与核孔复合物的运输障碍有关。下列相关叙述正确的是（）A．附着NPC的核膜和内质网一样，都是单层膜结构  B．细胞核与细胞质只能通过NPC进行物质交换  C．NPC保证了DNA等大分子可以自由进出细胞核  D．房颤可能由核质之间的信息交流障碍导致","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图是表示胰岛素（蛋白类激素）形成过程中相应细胞生物膜面积随时间变化的情况，图中所示三种膜的转化顺序是（）A．细胞膜→内质网→高尔基体  B．细胞膜→高尔基体→内质网  C．内质网→高尔基体→细胞膜  D．内质网→细胞膜→高尔基体膜","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"细胞膜的选择透过性保证了细胞内相对稳定的微环境。下列物质中，以自由扩散方式通过细胞膜的是（）A．甘油  B．Na  +  C．血红蛋白  D．DNA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"如图为细胞中蛋白质合成过程简图，①～③表示相关变化过程，下列分析正确的是（）A．①、②、③过程都发生了脱水缩合  B．③过程异常可能导致蛋白质功能异常  C．多肽中的N元素主要存在于游离的R基中  D．二肽中含有两个氨基酸和两个肽键","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自然条件下，淀粉由植物通过光合作用固定二氧化碳产生。2021年9月我国科研人员首次在实验室中实现从二氧化碳到淀粉分子的人工合成过程，且人工合成的淀粉与天然淀粉的分子结构一致。下列叙述错误的是（）A．人工合成的淀粉与天然淀粉的基本单位都是葡萄糖  B．淀粉、纤维素、几丁质均为多糖，均是细胞中的储能物质  C．淀粉、纤维素的基本骨架是碳链  D．该研究有利于解决资源短缺问题","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"为检测生物组织中的还原糖，制备了苹果的两种提取液：①浅红色混浊的匀浆；②浅黄色澄清的匀浆。下列叙述正确的是（）A．与提取液②相比，①更适合用于检测苹果中的还原糖  B．提取液中含有的淀粉、麦芽糖、蔗糖等都是还原糖  C．检测还原糖时，先往待测样液中加入斐林试剂甲液(NaOH),再加入乙液(CuSO  4  )  D．提取液②加入斐林试剂后水浴加热产生砖红色沉淀,说明②中含有还原糖","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于细胞与生命活动关系的描述错误的是（）A．组织、器官、系统等生命系统层次都由细胞和细胞产物构成  B．病毒体积比真核细胞小，比原核细胞大，是最基本的生命系统  C．单细胞的草履虫、变形虫均能完成觅食、运动、生殖等生命活动  D．多细胞生物体的生命活动是在细胞生命活动的基础上实现的","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"关于蓝细菌和黑藻的共同点，下列叙述错误的是（）A．都有核膜包被的细胞核  B．都能固定光能  C．细胞中都含有DNA和RNA  D．都具有核糖体","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"农作物生长所需的氮素能以NO3-的形式由根系从土壤中吸收。一定时间内作物甲和作物乙的根细胞吸收NO3-的速率与O2浓度的关系如图所示。下列有关叙述错误的是（　　）A．随  NO_3  被吸收进入细胞，a点后作物通过协助扩散吸收NO  3  -  B．a点后，能量不是作物乙吸收NO  3  -  速率的限制因素  C．推测作物甲根细胞膜上的NO  3  -  转运蛋白的数目多于作物乙  D．该研究说明及时松土能促进作物的生长","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"乳铁蛋白是一种分泌型糖蛋白，由一条多肽链折叠形成具有叶状空间结构的蛋白质分子，能携带Fe3+共同进入细胞。下列叙述错误的是（）A．分泌到胞外的乳铁蛋白被用来形成糖被参与信息传递  B．乳铁蛋白携带Fe  3+  进入细胞的过程需要消耗能量  C．乳铁蛋白加工的场所是内质网和高尔基体  D．乳铁蛋白多肽链形成的叶状结构存在氢键的作用","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"下列有关人体物质跨膜运输的叙述，错误的是（）A．葡萄糖分子进入红细胞时载体构象发生变化  B．水分子进入红细胞时通道蛋白构象发生变化  C．胰岛素分泌过程中，囊泡膜经融合成为细胞膜的一部分  D．钾离子进入红细胞伴随着ATP中特殊化学键的断裂","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"LRRK2是一种内质网膜上的蛋白质。科学家将敲除LRRK2基因的人成纤维细胞放入培养液中进行培养，发现细胞分泌蛋白P在内质网腔大量积聚，而培养液中的蛋白P含量较对照组显著降低。下列说法错误的是（）A．与蛋白P加工及分泌有关的膜结构属于生物膜系统  B．LRRK2蛋白的主要功能是促进细胞通过胞吐释放蛋白P  C．积累在内质网腔的蛋白P与培养液中的蛋白P结构不同  D．蛋白P被运出细胞能体现细胞膜控制物质进出的功能","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"在胚胎学研究中，人们注意到细胞间的相互作用对细胞分化和器官构建有一定的影响。还有实验证明，改变细胞所处的位置可导致细胞分化方向的改变。下列关于细胞分化的叙述，正确的是（　　）A．单细胞生物的细胞分化有利于提高各种生理功能的效率  B．已分化的细胞不可能具有细胞分裂能力  C．干细胞分化成多种类型的细胞体现了细胞的全能性  D．细胞分化的方向的改变，可能与周围细胞分泌的物质的诱导有关","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"我国科学家首次在实验室实现CO2到淀粉的人工合成，其代谢路线（ASAP）如下图。据图判断下列相关叙述正确的是（　　）A．图中C  1  （甲醇）的生成过程类似于光合作用中C  3  的还原  B．该过程的能量变化与植物光合作用过程中的能量变化是相同的  C．图示的ASAP过程与植物细胞中的碳反应（即暗反应）一样都能循环进行  D．固定等量的CO  2  时，该人工合成体系积累的淀粉比植物细胞更多","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"下列有关人体中ATP的叙述，正确的是（　　）A．ATP中的A为腺苷，由腺嘌呤和脱氧核糖结合而成  B．ATP合成时所需的能量可以来自光能，也可以来自呼吸作用所释放的能量  C．细胞质和细胞核中都有ATP的分布  D．剧烈运动时，细胞中ATP的水解速率远大于ATP的合成速率","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"多酶片常用于治疗消化不良。多酶片为双层结构，糖衣包裹的是胃蛋白酶，肠溶衣包裹胰蛋白酶、胰淀粉酶等胰酶，如图所示。药物先进入胃，再进入肠，定点崩解发挥疗效。下列相关分析正确的是（　　）A．患者服用多酶片时应捣碎或嚼碎服用，不宜整片吞服  B．胃蛋白酶适宜在低温、低pH条件下保存  C．胃蛋白酶和胰酶的最适pH差异较大，两者的最适温度差异也较大  D．胰蛋白酶能水解多种蛋白质，说明其不具有专一性","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"将甲、乙两个紫色洋葱鳞片叶外表皮细胞分别置于蔗糖溶液和甘油溶液中，两种溶液的浓度均比细胞液的浓度高，且都不会引起细胞死亡。在显微镜下连续观察，可以预测两个细胞发生的变化是（　　）A．甲细胞体积明显减小  B．甲细胞的吸水速度逐渐变慢  C．乙细胞液泡的颜色逐渐变深  D．甲乙两个细胞都发生质壁分离，随后都发生质壁分离复原","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图为某种物质跨膜运输的过程示意图。下列有关该过程的叙述，错误的是（　　）A．细胞对图中物质的运输不具有选择性  B．膜凹陷的过程依赖于生物膜的流动性  C．囊泡的形成及其运输过程需要消耗能量  D．该物质通过图中的囊泡进入细胞内后，可以被溶酶体降解","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"转运蛋白可以分为通道蛋白和载体蛋白两种类型。离子通道是由蛋白质复合物构成的，一种离子通道一般只允许一种离子通过，并且只有在对特定刺激发生反应时才瞬间开放。下列说法正确的是（　　）A．细胞膜的选择透过性与载体蛋白有关，与通道蛋白无关  B．由载体蛋白和通道蛋白介导的都是物质顺浓度梯度的跨膜运输  C．分子或离子通过通道蛋白时，不需要与通道蛋白结合  D．通道蛋白开放时，比通道直径小的物质一定都能通过","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"我国科研团队将酿酒酵母的16条染色体重新设计并人工合成为1条染色体，并将其移植到去核的酿酒酵母细胞中，得到的重组细胞能够存活，并可以表现出正常酿酒酵母细胞相应的生命特征。下列说法错误的是（　　）A．合成染色体时需要氨基酸和脱氧核苷酸作为原料  B．重组细胞的边界是细胞壁  C．重组细胞存活所需的能量主要由线粒体提供  D．浓缩成的染色体在重组细胞中发挥控制细胞代谢和遗传的作用","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图是真核细胞的几种细胞器的模式图，下列相关叙述正确的是（　　）A．图中①、③都有双层膜结构，都是含有核酸的细胞器  B．蓝细菌在结构③中进行光合作用  C．图中②由单层膜构成，是蛋白质等大分子物质合成、加工场所和运输通道  D．直接参与分泌蛋白合成、加工和运输的细胞器有①、②、④","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"两位美国科学家因在小分子核糖核酸（miRNA）领域的贡献被授予2024年诺贝尔生理学或医学奖，下列关于miRNA的叙述正确的是（　　）A．miRNA主要分布在细胞核  B．miRNA分子彻底水解可得到4种化合物  C．miRNA分子中一定含有C、H、O、N、S五种元素  D．miRNA分子和它的单体都是以碳链为基本骨架","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"近期长春地区冬季呼吸道传染病高发，专家提醒需警惕流感和支原体肺炎叠加风险，红霉素（一种抗生素）能够用于治疗支原体肺炎。下列有关叙述正确的是（　　）A．支原体的遗传信息储存在DNA中，流感病毒的遗传信息储存在蛋白质中  B．支原体与流感病毒最本质的区别在于有无以核膜为界限的细胞核  C．肺炎支原体属于生命系统的细胞层次和个体层次  D．破坏支原体的细胞壁，是红霉素能够用于治疗支原体肺炎的原因","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"生物学实验过程中，若在实验材料和试剂的选择上因条件受限，可采用替代方案。下列实验替代方案中不可行的是（）A．用洋葱鳞片叶内表皮替代洋葱鳞片叶外表皮观察质壁分离和复原  B．用藓类小叶替代菠菜叶稍带叶肉的下表皮观察叶绿体  C．用白萝卜匀浆替代梨匀浆检测生物组织中存在还原糖  D．用氯化钾溶液替代乙醇溶液研究影响自由扩散速率的因素","0","0","1","1","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"现有三种浅色液体：豆浆、椰汁和土豆浸出液。某兴趣小组为判定三种液体的成分进行实验，结果如下表。编号  试剂及现象  斐林试剂  双缩脲试剂  碘液  1  -  -  +  2  +  -  -  3  -  +  -  注：“+”代表有明显颜色反应，“-”代表无明显颜色反应有关叙述错误的是（　　）A．斐林试剂在使用过程中需要水浴加热  B．1至3号依次为土豆浸出液、椰汁和豆浆  C．3号加入双缩脲试剂后可观察到紫色  D．实验说明三种液体均只含有一种成分","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于光合作用发现史的叙述，错误的是（　　）A．恩格尔曼的实验直接证明了叶绿体能吸收光能用于光合作用放氧  B．美国科学家阿尔农发现，在光照下叶绿体可合成ATP，并发现该过程总与水的光解相伴随  C．希尔反应证明离体叶绿体在适当条件下发生水的光解、产生O  2  ，可以说希尔反应就是光反应  D．卡尔文用放射性同位素示踪技术探明了CO  2  中的碳在光合作用中转化成有机物中的碳的途径","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"利用双向纸层析法可先后分离苋菜中的光合色素和花青素。将色素提取液滴在滤纸上，先使用有机层析液层析，随后滤纸旋转90°使用清水继续层析，下列叙述正确的是（　　）A．光合色素和花青素的溶解性不同  B．提取色素时加入二氧化硅保护色素  C．旋转滤纸前分离的色素只吸收红光  D．以上所有色素均位于类囊体薄膜上","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
"生命活动离不开细胞，不包括下列内容中的（）A．生物与环境的物质和能量交换以细胞代谢为基础  B．缩手反射的完成是以细胞为结构基础  C．新发现的2019新型冠状病毒，没有细胞结构，属于生物，也能独立完成各种生命活动  D．遗传和变异以细胞内基因的传递和变化为基础","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"“金蕊荧煌翠叶圆，移栽花屋最宜看。一冬斋阁深深闭，留待秋香到岁寒。”是描写菊花的诗句。下列关于菊花细胞中相关物质或结构的描述，错误的是（　　）A．菊花的“金蕊”颜色与液泡中的色素有关  B．菊花细胞中的无机盐大多数以离子形式存在  C．天气变冷后菊花细胞中自由水与结合水的比值升高  D．菊花细胞中，C、H、O、N四种元素的含量最高","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图为细胞间信息交流的三种形式，字母代表细胞、结构或物质。下列叙述错误的是（　　）A．这三种信息交流方式中甲、乙需要细胞膜参与，丙不需要  B．图甲可表示胰岛素经血液运输至全身并与靶细胞膜表面的受体结合  C．图乙中的D代表靶细胞，发出信息的细胞可与其直接接触  D．图丙表示携带信息的物质可以通过通道进入相邻细胞","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于细胞呼吸原理在生产或生活中的应用，叙述正确的是（　　）A．提倡慢跑等有氧运动，可防止无氧呼吸产生乳酸和CO  2  使人体肌肉酸胀  B．不同种子播种的深浅、灌溉的频率不同与影响种子呼吸强度的因素有关  C．浅而面积大的伤口比深而窄的伤口更容易感染破伤风  D．仓库保持低氧和零下低温可以降低果蔬的呼吸速率，延长贮藏时间","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"下列关于细胞分化、凋亡、坏死和自噬的叙述，错误的是（　　）A．细胞分化和凋亡都是严格受细胞内基因调控的结果  B．胎儿手指间连接细胞的消失，是通过细胞凋亡实现的  C．被病原体感染的细胞的清除，是通过细胞坏死实现的  D．有些激烈的细胞自噬可能会诱导细胞凋亡","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"农谚有云：“雨生百谷”。“雨”有利于种子的萌发，是“百谷”丰收的基础。下列关于水的说法，错误的是（　　）A．种子萌发时，细胞内自由水所占的比例降低  B．水可借助通道蛋白以协助扩散方式进入细胞  C．水参与了有氧呼吸过程中CO  2  的生成  D．光合作用中，水的光解发生在类囊体薄膜上","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于细胞器和细胞结构的叙述，正确的是（　　）A．植物细胞最外面的细胞壁是植物细胞的边界  B．动物和低等植物细胞中的中心体只包括两个中心粒  C．溶酶体能分解衰老的细胞器、吞噬入侵的细菌  D．细胞器在细胞中的排列、分布和运动是随机的","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"酶变体FAST-PETase（肽链构成，与天然酶比较，性质更稳定），能在短时间内分解无机催化剂需要数百年才能降解的PET塑料。下列相关叙述错误的是（）A．FAST-PETase降解PET具有高效性  B．FAST-PETase与双缩脲试剂反应会呈紫色  C．强酸和强碱会影响FAST-PETase的催化活性  D．FAST-PETase的结构与天然酶相同","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"一般植物在土壤含盐量高时会出现干梢和大量落叶等不适应症状。柽柳是一种耐盐植物，为验证其耐盐特性与细胞液浓度有关，取柽柳和普通植物的根尖成熟区细胞置于较高浓度的盐溶液中，观察到的现象如下图所示，下列叙述错误的是（　　）A．观察过程中两种植物的根细胞吸水能力逐渐减弱  B．图示细胞膜、细胞质、液泡膜相当于半透膜  C．若观察到的细胞甲来自柽柳、细胞乙来自普通植物，则可证明假说  D．若继续培养较长时间，柽柳根细胞内的细胞液可能重新增多","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"糖类和脂质是细胞中两种重要的有机物，相关的叙述错误的是（）A．细胞膜上的脂质包括磷脂、胆固醇等  B．几丁质也是一种多糖，广泛存在于甲壳类动物和昆虫的外骨骼中  C．淀粉和脂肪水解的终产物是二氧化碳和水  D．质量相同的糖类和脂肪被彻底分解时，糖类耗氧少","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图为菠菜叶肉细胞内某种成分的结构组成示意图。下列叙述错误的是（　　）A．丁是单体，以若干个碳原子构成的碳链为基本骨架  B．甲有1种类型，乙有两种类型，丙有5种类型  C．若丙是T，则丁构成的生物大分子为脱氧核糖核苷酸  D．若丙是U，则在叶绿体、线粒体中有丁构成的化合物","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于细胞的生命历程，叙述正确的是（）A．细胞分化改变了细胞的遗传物质，细胞的形态、结构、生理功能会随之改变  B．细胞凋亡过程中不需要合成新的蛋白质  C．溶酶体内合成的多种水解酶会参与细胞自噬过程  D．衰老细胞的细胞核体积增大，细胞体积缩小","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"研究表明，主动运输根据能量的来源不同分为三种类型，如图中a、b、c所示，■、▲、●代表跨膜的离子或小分子。下列叙述错误的是（ ）A．a类型中Y离子转运所需的能量来自于X离子的转运过程  B．肌细胞吸收氨基酸分子是通过c类型进行的  C．Z代表的结构既可以进行物质运输，又可以催化ATP水解  D．通道蛋白转运分子或离子时，被转运的物质不需要与通道蛋白结合","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
